State,Year,Quater,Entity_Name,Entity_Type,User_count
arunachal-pradesh,2022,1,papum pare,State,111271
arunachal-pradesh,2022,1,west kameng,State,27860
arunachal-pradesh,2022,1,changlang,State,26904
arunachal-pradesh,2022,1,east siang,State,25763
arunachal-pradesh,2022,1,lohit,State,19214
arunachal-pradesh,2022,1,tawang,State,15589
arunachal-pradesh,2022,1,west siang,State,14420
arunachal-pradesh,2022,1,namsai,State,14054
arunachal-pradesh,2022,1,lower dibang valley,State,11401
arunachal-pradesh,2022,1,lower subansiri,State,10854
arunachal-pradesh,2022,2,papum pare,State,117568
arunachal-pradesh,2022,2,west kameng,State,29424
arunachal-pradesh,2022,2,changlang,State,28495
arunachal-pradesh,2022,2,east siang,State,27240
